Satelitenumber,Datetime,X,Y,Z,azimuth,zenith
E02,2024-09-18 12:20:00,21336355.057610445,4875419.815404749,19936227.180693362,169.452148221764,25.606826039250112
E02,2024-09-18 12:20:00,21317405.258190926,4852147.764360115,19962142.659072466,169.53239938925077,25.517963095389373
E02,2024-09-18 12:20:00,21290880.274820443,4819478.84428787,19998308.38370863,169.64620407913517,25.393762981929534
E02,2024-09-18 12:20:00,21290880.2743444,4819478.842782431,19998308.384529363,169.6462040860355,25.393762978834975
E02,2024-09-18 12:40:00,24800137.28761711,8304035.487249699,13876870.62289989,163.65728441705483,43.68516484129892
E02,2024-09-18 12:40:00,24783590.891853347,8291240.48485475,13914016.509133656,163.65929809268994,43.58724144865811
E02,2024-09-18 12:40:00,24760379.027968835,8273235.137031773,13965939.927375294,163.66239234137046,43.45015870739505
E02,2024-09-18 12:40:00,24760379.02813814,8273235.138124248,13965939.926474486,163.66239233860264,43.45015871007039
E02,2024-09-18 12:50:00,25588356.99829894,8874621.065274777,11961152.59734244,163.73743133038923,48.583872901997054
E02,2024-09-18 12:50:00,25573405.496871136,8864523.223838465,12000536.02580972,163.73280389639805,48.485935100794386
E02,2024-09-18 12:50:00,25552413.570924416,8850297.567972396,12055603.114162683,163.7265051801979,48.34881451814636
E02,2024-09-18 12:50:00,25552413.570918042,8850297.568128979,12055603.114061328,163.72650517979045,48.34881451844328
E02,2024-09-18 13:00:00,26656194.54192941,9517223.131388696,8688332.518231835,164.38144572372593,56.39001286423439
E02,2024-09-18 13:00:00,26644557.318322834,9511131.409034794,8730581.679730497,164.37079763018602,56.292943329791676
E02,2024-09-18 13:00:00,26628186.58015618,9502524.018739663,8789679.781271271,164.35597353497826,56.15701887272441
E02,2024-09-18 13:00:00,26628186.580247235,9502524.020696295,8789679.77906423,164.35597353095366,56.15701887831279
E02,2024-09-18 13:10:00,27434497.963645123,9864421.863967871,5164683.735446629,165.36736812640254,64.22132819720395
E02,2024-09-18 13:10:00,27417082.633263398,9858296.343285317,5267803.071235516,165.3368405779364,63.99866719124059
E02,2024-09-18 13:10:00,27406486.749458496,9854519.870846488,5329627.221316296,165.318560655899,63.86500785913615
E02,2024-09-18 13:10:00,27406486.749515254,9854519.870052626,5329627.222371193,165.3185606574373,63.86500785665928
E02,2024-09-18 13:20:00,27838097.6479065,9958401.825967945,1583333.7964159416,166.42972254178244,71.76972735626343
E02,2024-09-18 13:20:00,27831853.42333634,9958552.672809275,1688667.4167515445,166.399015085361,71.55211829372827
E02,2024-09-18 13:20:00,27827942.336427305,9958568.771989075,1751852.4682179003,166.3805636852191,71.42147510873362
E02,2024-09-18 13:20:00,27827942.336146783,9958568.77314667,1751852.4666456254,166.38056368296427,71.42147511225205
E02,2024-09-18 13:30:00,27839305.76957957,9872654.50236382,-2033002.0474871383,167.42560372995933,79.12749502241613
E02,2024-09-18 13:30:00,27845244.451218355,9877030.720616177,-1927780.0505056689,167.3986712718225,78.91589748103215
E02,2024-09-18 13:30:00,27848632.628728166,9879612.358005444,-1864629.3090185076,167.3824356515706,78.78884893378118
E02,2024-09-18 13:30:00,27848632.6282439,9879612.359128904,-1864629.3109879747,167.3824356494299,78.78884893797797
E04,2024-09-18 13:00:00,-13835801.719371336,17355175.14858217,19582533.607436553,45.00240656341329,77.95083794429914
E04,2024-09-18 13:00:00,-13836091.341172434,17364990.81467812,19573624.556781564,45.02465154163782,77.96728912319759
E04,2024-09-18 13:00:00,-13837347.887192264,17406166.576569803,19536124.439040832,45.11794982145964,78.03656009540772
E04,2024-09-18 13:00:00,-13837347.88765995,17406166.575569127,19536124.43963415,45.117949818860616,78.03656009486853
E04,2024-09-18 13:10:00,-13856224.618536012,15307229.55351063,21208657.601079527,40.31957401988224,75.00904947895422
E04,2024-09-18 13:10:00,-13854712.751620397,15339087.683378583,21186614.039397165,40.39311495843141,75.04772206736307
E04,2024-09-18 13:10:00,-13852660.510300439,15383636.235385137,21155629.963257074,40.49591207150625,75.10215941199374
E04,2024-09-18 13:10:00,-13852660.510154624,15383636.235832939,21155629.96301168,40.495912072622296,75.10215941226758
E04,2024-09-18 13:20:00,-14106445.921974104,12670946.459508684,22728350.812047694,34.16020772592352,72.52299729646644
E04,2024-09-18 13:20:00,-14101694.337226901,12704797.10381407,22712394.226534016,34.240103455492005,72.5462629194489
E04,2024-09-18 13:20:00,-14095112.911001623,12752157.0867606,22689923.053207275,34.35185593611318,72.57918234548687
E04,2024-09-18 13:20:00,-14095112.910407722,12752157.088333806,22689923.052649375,34.351855940032316,72.57918234575136
E04,2024-09-18 13:30:00,-14624960.652535306,9918523.564531982,23745887.55852316,27.62829828549715,71.3553505027462
E04,2024-09-18 13:30:00,-14616782.856472548,9953291.113079827,23736370.073243733,27.710956244301595,71.3612811013344
E04,2024-09-18 13:30:00,-14605406.184309503,10001957.808900066,23722907.692219604,27.826665237472817,71.36995905772547
E04,2024-09-18 13:30:00,-14605406.185199622,10001957.806649376,23722907.69267496,27.826665231968406,71.36995905811838
E04,2024-09-18 13:40:00,-15416976.455123875,7137401.405898439,24238832.914240338,21.05866050779712,71.60680261356113
E04,2024-09-18 13:40:00,-15389325.193103468,7220418.266970497,24231807.63399028,21.25272604476238,71.57849980421247
E04,2024-09-18 13:40:00,-15389325.192046305,7220418.269724308,24231807.633774456,21.252726051254413,71.57849980304029
E04,2024-09-18 13:40:00,-15382449.159450669,7241180.468204751,24229975.889620192,21.301288558813567,71.57162255202375
E04,2024-09-18 14:00:00,-17920085.71235849,1523178.6525553653,23510197.950152278,8.573472215340587,76.61858150535052
E04,2024-09-18 14:00:00,-17878215.479469653,1597070.803281397,23537145.94446846,8.7270202957398,76.51058173515067
E04,2024-09-18 14:00:00,-17878215.478395116,1597070.806079678,23537145.945026122,8.727020301633122,76.51058173248569
E04,2024-09-18 14:00:00,-17867772.178298254,1615574.9476626986,23543809.711832307,8.765526011508994,76.48372758038242
E04,2024-09-18 14:10:00,-19145060.56283977,-452352.144183079,22571106.70279671,4.602079552303303,79.98493059734612
E05,2024-09-18 14:00:00,10080101.787313275,27177321.3763491,5986777.77527128,110.20505329047734,78.96054904756964
E05,2024-09-18 14:00:00,10083627.921362733,27185626.90419695,5942994.5190974,110.24759816918488,79.04114697395916
E05,2024-09-18 14:00:00,10088495.77669453,27197164.166945547,5881663.452317392,110.30702764818969,79.15401250061855
E05,2024-09-18 14:00:00,10088495.778055971,27197164.166810468,5881663.450388832,110.30702765251178,79.15401250300103
E05,2024-09-18 14:10:00,9656311.381615294,26348625.206978343,9409581.769228805,106.50162466632223,72.6001654126326
E05,2024-09-18 14:10:00,9673332.191256355,26377908.751271326,9309556.177355617,106.62253797812592,72.78749548942443
E05,2024-09-18 14:10:00,9673332.192801692,26377908.75131422,9309556.175490668,106.622537982957,72.78749549162411
E05,2024-09-18 14:10:00,9672863.165722027,26377098.75622659,9312337.180238344,106.61918846736542,72.78228811840322
E06,2024-09-18 13:20:00,-9334574.10320237,21891810.008215982,17585412.222948685,59.24837332841172,76.63817696200678
E06,2024-09-18 13:20:00,-9326380.004516484,21954733.39281157,17511257.68155183,59.40595127542652,76.76894913155148
E06,2024-09-18 13:20:00,-9326380.004803518,21954733.392433368,17511257.681891065,59.405951274222275,76.76894913123046
E06,2024-09-18 13:20:00,-9326380.004516484,21954733.39281157,17511257.68155183,59.40595127542652,76.76894913155148
E06,2024-09-18 13:30:00,-9734119.10971085,19668026.12721245,19847881.809418455,53.62695212735267,72.75328289301771
E06,2024-09-18 13:30:00,-9718402.889790053,19737932.285799656,19786169.333086442,53.80572962728837,72.85518139802598
E06,2024-09-18 13:30:00,-9718402.89001539,19737932.28558159,19786169.333193224,53.80572962655747,72.85518139807952
E06,2024-09-18 13:30:00,-9718402.889790053,19737932.285799656,19786169.333086442,53.80572962728837,72.85518139802598
E06,2024-09-18 13:40:00,-10399350.64962037,17252131.25814774,21671303.307752177,47.352248903508624,69.96071382770315
E06,2024-09-18 13:40:00,-10375327.100223005,17326618.155978404,21623399.576989464,47.548373764791975,70.02633611445333
E06,2024-09-18 13:40:00,-10375327.099259151,17326618.15738872,21623399.576278053,47.54837376899265,70.02633611466736
E06,2024-09-18 13:40:00,-10375327.100223005,17326618.155978404,21623399.576989464,47.548373764791975,70.02633611445333
E06,2024-09-18 13:50:00,-11346990.403412921,14727253.685228394,23015300.212534152,40.633217910953014,68.48067672902566
E06,2024-09-18 13:50:00,-11314430.05917579,14803763.150585476,22982266.328398477,40.838185783747974,68.50443622855741
E06,2024-09-18 13:50:00,-11314430.057882646,14803763.152446315,22982266.327781256,40.83818578914508,68.50443622810256
E06,2024-09-18 13:50:00,-11314430.05917579,14803763.150585476,22982266.328398477,40.838185783747974,68.50443622855741
E06,2024-09-18 14:10:00,-14819526.871693313,8595375.28580021,24119376.427791547,24.53663905427756,70.9632933906374
E06,2024-09-18 14:10:00,-14826614.741476765,8585554.63757758,24118516.6582154,24.512143699133585,70.97455287957496
E06,2024-09-18 14:10:00,-14796868.756029114,8626821.519576306,24122065.31366801,24.615117757040256,70.92740827484656
E06,2024-09-18 14:10:00,-14796868.756740889,8626821.51852891,24122065.31363254,24.615117754425132,70.92740827589556
E09,2024-09-18 13:30:00,-3581183.6143979942,25887687.789689377,13879768.312491335,76.21483621225117,77.51623669619048
E09,2024-09-18 13:30:00,-3571748.5977328126,25936849.858058825,13790128.579196334,76.35409360727775,77.67699880116021
E09,2024-09-18 13:30:00,-3571748.597644463,25936849.85807218,13790128.579194088,76.35409360744409,77.67699880107236
E09,2024-09-18 13:30:00,-3572007.828986926,25935488.14444318,13792622.293084819,76.35023427311133,77.67252635630363
E09,2024-09-18 13:40:00,-4025215.968065301,24095611.675312664,16698816.395108657,71.17311655156993,72.49345229716597
E09,2024-09-18 13:40:00,-4008036.2402079445,24153353.71371564,16619330.065397317,71.33609392292375,72.63331751363737
E09,2024-09-18 13:40:00,-4008036.240961084,24153353.71310892,16619330.066136308,71.33609392030691,72.63331751301041
E09,2024-09-18 13:40:00,-4008510.070613206,24151752.80397187,16621542.500940224,71.33157686321427,72.62942222664533
E09,2024-09-18 13:50:00,-4746973.910983323,22056038.029862206,19148534.445932522,65.31116852426955,68.31291381056435
E09,2024-09-18 13:50:00,-4720994.394009088,22120069.388832655,19080958.841478515,65.4989598914086,68.42329462283631
E09,2024-09-18 13:50:00,-4720994.394829959,22120069.38814065,19080958.842111513,65.49895988855062,68.42329462250426
E09,2024-09-18 13:50:00,-4721712.342365207,22118292.793168392,19082841.084890455,65.4937531486736,68.42021477440755
E10,2024-09-18 12:20:00,-11378977.451215519,16026103.203884257,22123168.014223386,43.6589260713089,70.27763181239891
E10,2024-09-18 12:20:00,-11280288.686170999,16008077.272267973,22186712.870681744,43.69345977292454,70.03134288080474
E10,2024-09-18 12:20:00,-11300054.336392486,16011656.727849497,22174059.118118294,43.68642054180185,70.08058284926493
E10,2024-09-18 12:20:00,-11300054.335389324,16011656.728071246,22174059.118440636,43.686420543125195,70.08058284738071
E11,2024-09-18 12:20:00,373995.44284340035,16147873.3564407,24795986.50906639,60.04687153778732,47.55961810792314
E11,2024-09-18 12:20:00,462653.53431611886,16133755.701893385,24803674.242630906,60.20231015458672,47.389249615619
E11,2024-09-18 12:20:00,462653.5343037048,16133755.70190486,24803674.242623683,60.202310154590364,47.38924961566065
E11,2024-09-18 12:20:00,462653.53431611886,16133755.701893385,24803674.242630906,60.20231015458672,47.389249615619
E11,2024-09-18 12:30:00,-2170594.7582345176,16668928.128186394,24355313.776743744,56.436826304900364,52.82043221018094
E11,2024-09-18 12:30:00,-2084981.4225900776,16647670.603244655,24377312.460997533,56.53309563360332,52.63225125530628
E11,2024-09-18 12:30:00,-2084981.4196676172,16647670.602850985,24377312.461450048,56.53309563784119,52.6322512495595
E11,2024-09-18 12:30:00,-2084981.4225900776,16647670.603244655,24377312.460997533,56.53309563360332,52.63225125530628
E11,2024-09-18 12:40:00,-4929806.794853266,17503118.144892685,23347496.903860606,54.17519552357063,59.2967422249561
E11,2024-09-18 12:40:00,-4850086.475139784,17474769.054985404,23385381.605213474,54.21869830897714,59.09805853932115
E11,2024-09-18 12:40:00,-4850086.476978591,17474769.055221446,23385381.604697254,54.21869830689073,59.09805854311609
E11,2024-09-18 12:40:00,-4850086.475139784,17474769.054985404,23385381.605213474,54.21869830897714,59.09805853932115
E15,2024-09-18 14:00:00,20562341.901537973,-11748053.587290382,17767229.936428286,239.9655962293574,42.79866300109046
E15,2024-09-18 14:00:00,20567534.98549823,-11755333.265483893,17756398.586893197,239.95345534958733,42.82995882185326
E15,2024-09-18 14:00:00,20589347.42050091,-11785834.312519973,17710832.498773966,239.9023840785223,42.961387158009174
E15,2024-09-18 14:00:00,20588308.68295675,-11784384.580457326,17713005.034724377,239.90481894429468,42.95512918795271
E15,2024-09-18 14:10:00,19284651.855794016,-9722512.688131496,20250734.121438585,242.6939898028126,34.93968894063192
E15,2024-09-18 14:10:00,19279686.326209404,-9713619.010534495,20259729.317952808,242.70330730582543,34.90814836717521
E15,2024-09-18 14:10:00,19300552.557660278,-9750931.702881927,20221897.24887117,242.6640645958911,35.04061481293304
E15,2024-09-18 14:10:00,19299558.27454433,-9749157.332536822,20223701.885808628,242.66593977220623,35.03430711745914
E18,2024-09-18 14:00:00,956028.5328310672,-24849334.791361313,14968057.929956382,290.2995924476565,77.69493787671071
E18,2024-09-18 14:00:00,935146.5471895583,-24892598.522007704,14925064.396448825,290.277129902937,77.81694908917241
E18,2024-09-18 14:00:00,926006.3763692826,-24911604.608456735,14906099.09121075,290.26714628201137,77.87057558417008
E18,2024-09-18 14:00:00,926836.0896834732,-24909877.542138826,14907824.421772651,290.26805640557,77.8657019288645
E18,2024-09-18 14:10:00,1995079.9214524706,-22915501.323915437,16656764.175052617,290.9280495020004,72.29436185759039
E18,2024-09-18 14:10:00,1945733.8552333615,-22999785.377640557,16592071.348127833,290.91590293870814,72.52841649402819
E18,2024-09-18 14:10:00,1933748.297935878,-23020352.02172428,16576168.705486434,290.9127217035898,72.58553546352508
E18,2024-09-18 14:10:00,1934836.647192811,-23018482.916367322,16577615.838511452,290.9130143306154,72.58034436227
E19,2024-09-18 12:50:00,-16273122.482907705,-5029646.804556241,24209086.78617488,354.03287681198486,74.4345287792364
E19,2024-09-18 12:50:00,-16274206.583592221,-5017553.703985422,24210867.51658872,354.0592520520832,74.4302278958297
E19,2024-09-18 12:50:00,-16272258.608493637,-5039320.941560791,24207655.504977524,354.01177974546147,74.43798664624451
E19,2024-09-18 12:50:00,-16274206.583592221,-5017553.703985422,24210867.51658872,354.0592520520832,74.4302278958297
E19,2024-09-18 13:00:00,-16157428.540818688,-7072925.331865872,23771878.414000377,349.63134462933266,75.5058706733886
E19,2024-09-18 13:00:00,-16160167.773920916,-6965593.830798529,23801690.813231573,349.85950901582055,75.4325469610791
E19,2024-09-18 13:00:00,-16159589.872687126,-6987070.081317344,23795787.563043807,349.81382519028705,75.44706666843334
E19,2024-09-18 13:00:00,-16160167.773920916,-6965593.830798529,23801690.813231573,349.85950901582055,75.4325469610791
E21,2024-09-18 13:50:00,-10385998.14806684,-16668978.350514844,22150421.20426671,324.881625094909,74.1358032097373
E21,2024-09-18 13:50:00,-10484959.705680335,-16682010.042267803,22093909.69456309,324.9612678827933,74.35952386731242
E21,2024-09-18 13:50:00,-10465191.247929601,-16679378.89776144,22105267.04520103,324.9454680860129,74.31473829872432
